Product ID,Product Category,Product Name,Price,Discount,Disc Price,
BTMC001,5 - Step Facial,5 Step Facial - Radiance Revival,  325.00 ,  50.00 ,  162.50 ,
BTMC002,5 - Step Facial,5 Step Facial - Derma Lumin,  325.00 ,  50.00 ,  162.50 ,
BTMC003,5 - Step Facial,5 Step Facial - Cobalin B12,  325.00 ,  50.00 ,  162.50 ,
BTMC004,5 - Step Facial,5 Step Facial - Mucin Glow,  325.00 ,  50.00 ,  162.50 ,
BTMC005,General,De Tan Single Use 12Gms(10Pcs),  599.00 ,  65.00 ,  209.65 ,
BTMC006,Cleanup Kit,4 Step Cleanup - Gold Sheen,  199.00 ,  65.00 ,  69.65 ,
BTMC007,Cleanup Kit,4 Step Cleanup - Aqua Splash,  199.00 ,  65.00 ,  69.65 ,
BTMC008,Cleanup Kit,4Step CleanUp - Charcoal Splash,  199.00 ,  65.00 ,  69.65 ,
BTMC009,Cleanup Kit,4 Step Cleanup - Acne Heel,  199.00 ,  65.00 ,  69.65 ,
BTMC010,Cleanup Kit,4 Step Cleanup - Radiat Youth,  199.00 ,  65.00 ,  69.65 ,
